"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Kildare","Accommodation and food service activities (I)",20832,20789,20132,19999,21015,21602,22367,22941,23764,29133,27642,27049,26989,28146
"Mean Annual Earnings","Co. Kildare","Information and communication (J)",60095,60900,61826,63954,66976,68747,71810,73430,76803,81110,89019,93380,97321,104795
"Mean Annual Earnings","Co. Kildare","Professional, scientific and technical activities (M)",45787,45678,46207,48792,50008,51103,52625,53784,56498,58730,61785,65936,69027,71971
"Mean Annual Earnings","Co. Kildare","Administrative and support service activities (N)",32034,32503,31774,32077,32555,35059,36190,37375,40399,42772,44466,48500,50011,52302
"Mean Annual Earnings","Co. Kildare","Public administration and defence; compulsory social security (O)",51456,50606,51022,50521,51160,51638,53693,54396,55023,56449,57514,61309,65019,68293
"Mean Annual Earnings","Co. Kildare","Education (P)",49699,49242,48561,47484,47773,47281,48719,49964,50427,51923,52490,55237,56727,59193
"Mean Annual Earnings","Co. Kildare","Human health and social work activities (Q)",36993,36658,36365,36133,36748,36708,37435,38655,40011,42750,43218,45477,47988,50645
"Mean Annual Earnings","Co. Kildare","Industry (B to E)",49429,49701,49759,51584,52871,54613,55893,57586,59448,63166,65144,67511,67688,69841
"Mean Annual Earnings","Co. Kildare","Financial, insurance and real estate activities (K,L)",54677,54152,55665,56740,57845,59360,61314,64236,66614,67848,71091,74958,77053,79760
"Mean Annual Earnings","Co. Kildare","Arts, entertainment, recreation and other service activities (R,S)",28467,28605,28529,29090,30204,29566,29634,30902,31580,38074,38552,36279,37915,40254
"Mean Annual Earnings","Co. Kilkenny","All NACE economic sectors",36856,36735,37022,36999,37247,37338,38284,39817,41073,45222,46180,46510,48497,50886
"Mean Annual Earnings","Co. Kilkenny","Construction (F)",37615,36839,37534,37842,36885,37977,38128,38237,40977,46360,47384,45223,48561,51492
"Mean Annual Earnings","Co. Kilkenny","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26138,26266,26189,27890,27817,28470,29057,29826,32042,34928,35283,34589,36202,37709
"Mean Annual Earnings","Co. Kilkenny","Transportation and storage (H)",32050,31089,31799,32120,32468,32660,32877,34377,35257,37027,38287,38974,41150,42489
"Mean Annual Earnings","Co. Kilkenny","Accommodation and food service activities (I)",19964,19365,19997,20035,18971,19897,20343,21274,21625,26214,26870,25469,26260,26736
"Mean Annual Earnings","Co. Kilkenny","Information and communication (J)",48292,49375,51582,49087,52938,50251,52598,53324,55779,56259,60831,67863,73694,79165
"Mean Annual Earnings","Co. Kilkenny","Professional, scientific and technical activities (M)",36898,37694,37642,40018,39614,39938,40393,42511,45442,45970,48866,54480,58849,61191
"Mean Annual Earnings","Co. Kilkenny","Administrative and support service activities (N)",24510,24160,24969,26374,27713,25980,26965,29831,33070,35452,35335,34415,40067,43485
"Mean Annual Earnings","Co. Kilkenny","Public administration and defence; compulsory social security (O)",46588,46405,46736,46559,45811,45752,47452,48099,49145,50823,52579,54885,57919,59884
"Mean Annual Earnings","Co. Kilkenny","Education (P)",47215,47537,47382,45798,46599,45657,46578,47934,48808,50331,51043,53219,54849,56663
"Mean Annual Earnings","Co. Kilkenny","Human health and social work activities (Q)",35707,35715,35776,35389,35815,35967,36757,38224,39381,42192,41937,43997,46723,49377
"Mean Annual Earnings","Co. Kilkenny","Industry (B to E)",46834,47417,47595,46994,47997,47524,48923,50615,51269,55380,56416,56875,58095,61972
"Mean Annual Earnings","Co. Kilkenny","Financial, insurance and real estate activities (K,L)",42513,42162,41691,42266,43115,43807,45468,47835,49175,50951,54975,59277,56383,59218
"Mean Annual Earnings","Co. Kilkenny","Arts, entertainment, recreation and other service activities (R,S)",24573,23951,24576,23544,23858,22747,23781,23892,24718,30193,30036,27220,28087,30611
"Mean Annual Earnings","Co. Kerry","All NACE economic sectors",34455,34396,34481,34911,35374,34700,35475,36463,37513,42368,42572,42674,44024,46139
"Mean Annual Earnings","Co. Kerry","Construction (F)",32084,32172,31844,34367,34639,34204,33881,35947,37140,43216,43926,40716,42469,44733
"Mean Annual Earnings","Co. Kerry","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",24086,24125,24503,24852,25173,25283,25054,25630,26670,29361,31118,31261,32550,34294
