"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Median Annual Earnings","Co. Wexford","Transportation and storage (H)",30750,29411,29160,32308,31828,33106,32788,33110,33047,34970,36967,37073,37927,40039
"Median Annual Earnings","Co. Wexford","Accommodation and food service activities (I)",16267,16260,15499,16252,16431,17254,17441,18122,18423,23488,23134,21932,22345,23399
"Median Annual Earnings","Co. Wexford","Information and communication (J)",41966,40212,41676,42743,41336,42352,43510,44000,44953,39121,49147,56113,58905,59918
"Median Annual Earnings","Co. Wexford","Professional, scientific and technical activities (M)",25598,26103,27408,28576,30338,30307,30460,31200,32833,34621,34916,36134,37920,40435
"Median Annual Earnings","Co. Wexford","Administrative and support service activities (N)",22292,24214,23627,22540,23640,24011,24402,24913,27462,27278,30000,31312,32017,34589
"Median Annual Earnings","Co. Wexford","Public administration and defence; compulsory social security (O)",42816,42742,42765,42640,42742,41814,43470,43585,44850,45651,47229,50160,52700,54887
"Median Annual Earnings","Co. Wexford","Education (P)",47009,47847,47566,45584,46546,46294,47240,47045,46639,47805,47464,50848,52680,52898
"Median Annual Earnings","Co. Wexford","Human health and social work activities (Q)",30468,29778,30186,29920,30991,30281,30733,32592,33037,34798,34478,36319,38173,40823
"Median Annual Earnings","Co. Wexford","Industry (B to E)",31518,31809,31818,32454,32231,32926,33060,34437,34442,36278,38995,38589,40729,42416
"Median Annual Earnings","Co. Wexford","Financial, insurance and real estate activities (K,L)",32386,35388,34843,36362,36948,36439,36981,37387,36756,38046,43180,47215,48121,49847
"Median Annual Earnings","Co. Wexford","Arts, entertainment, recreation and other service activities (R,S)",19996,19943,19896,20212,19733,20057,20581,20651,20918,25844,26000,24635,25050,26977
"Median Annual Earnings","Ireland","All NACE economic sectors",33157,32900,33059,33323,33688,33912,34658,35786,37001,40579,41222,41823,43221,44816
"Median Annual Earnings","Ireland","Construction (F)",33153,32539,33248,33675,33321,33653,34264,35669,37502,40601,41760,41003,42643,44676
"Median Annual Earnings","Ireland","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",23046,23091,23185,23790,24386,25164,25625,26328,27442,29539,30476,30660,31752,32902
"Median Annual Earnings","Ireland","Transportation and storage (H)",36904,36300,36183,36322,36203,36561,36079,37443,38693,39548,39972,41451,41609,43823
"Median Annual Earnings","Ireland","Accommodation and food service activities (I)",18200,17911,17798,17841,18200,18754,19293,19900,20576,24298,23795,24099,24464,26000
"Median Annual Earnings","Ireland","Information and communication (J)",46915,47412,48999,50902,52132,52838,54714,56464,58000,61632,66082,71494,76002,80147
"Median Annual Earnings","Ireland","Professional, scientific and technical activities (M)",34186,33890,34267,35000,35986,37486,38331,39642,41667,43311,45394,46674,49533,51750
"Median Annual Earnings","Ireland","Administrative and support service activities (N)",24213,24535,24588,25142,25706,26436,27418,28639,30418,31594,32618,34377,35666,37125
"Median Annual Earnings","Ireland","Public administration and defence; compulsory social security (O)",44618,44537,45024,45371,45437,44611,45562,46101,47232,48212,49507,52459,54760,56745
"Median Annual Earnings","Ireland","Education (P)",47577,47570,47754,46750,47228,45823,47040,47584,47754,48664,48791,51692,53005,54413
"Median Annual Earnings","Ireland","Human health and social work activities (Q)",34304,33920,33873,33634,33830,33618,34360,35235,36106,38213,38517,40285,42599,44622
"Median Annual Earnings","Ireland","Industry (B to E)",36986,37020,37348,37999,38118,38591,39138,40560,41654,44584,45804,46600,47808,50000
"Median Annual Earnings","Ireland","Financial, insurance and real estate activities (K,L)",41322,41366,41955,42437,42658,43205,44353,46036,47776,50305,52350,54999,56582,59023
"Median Annual Earnings","Ireland","Arts, entertainment, recreation and other service activities (R,S)",21125,20608,20489,20442,20560,20789,21221,21842,22800,28493,28568,25915,26811,28497
